freq;indic_de;geo\TIME_PERIOD,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;CNMIGRATRT;DE92,0.8 ,1.1 ,-0.8 ,0.2 ,1.5 ,3.1 ,4.5 ,5.6 ,7.5 ,14.9 ,5.7 ,5.0 
A;CNMIGRATRT;DE93,1.5 ,1.1 ,0.1 ,1.4 ,2.1 ,1.7 ,3.8 ,5.5 ,7.5 ,16.5 ,5.1 ,4.5 
A;CNMIGRATRT;DE94,1.7 ,2.0 ,0.3 ,1.0 ,2.5 ,3.0 ,3.9 ,4.3 ,7.4 ,16.4 ,5.2 ,5.4 
A;CNMIGRATRT;DEA1,0.8 ,0.9 ,-0.4 ,-0.2 ,1.1 ,2.4 ,4.1 ,5.2 ,6.5 ,15.8 ,5.3 ,3.8 
A;CNMIGRATRT;DEA2,2.1 ,2.2 ,-0.2 ,0.6 ,3.3 ,4.9 ,5.3 ,5.7 ,7.5 ,15.0 ,4.2 ,4.1 
A;CNMIGRATRT;DEA3,0.3 ,-0.4 ,-1.5 ,-0.7 ,0.9 ,4.0 ,2.5 ,3.4 ,4.5 ,15.0 ,3.4 ,2.3 
A;CNMIGRATRT;DEA4,-1.1 ,-2.0 ,-2.8 ,-1.8 ,-0.7 ,-0.2 ,1.4 ,1.9 ,4.2 ,15.7 ,-0.7 ,1.5 
A;CNMIGRATRT;DEA5,-2.0 ,-2.0 ,-3.1 ,-2.8 ,-1.2 ,0.6 ,1.2 ,2.1 ,5.2 ,14.9 ,0.0 ,2.2 
A;CNMIGRATRT;DEB1,-1.8 ,-0.9 ,-2.4 ,-1.7 ,-0.9 ,-0.1 ,1.7 ,3.1 ,5.8 ,11.4 ,5.8 ,4.1 
A;CNMIGRATRT;DEB2,7.3 ,2.5 ,1.3 ,-0.2 ,1.6 ,2.6 ,2.7 ,4.6 ,7.7 ,23.4 ,-5.6 ,3.9 
A;CNMIGRATRT;DEB3,1.6 ,1.3 ,-1.8 ,0.0 ,1.7 ,3.6 ,4.8 ,5.3 ,7.7 ,11.8 ,7.8 ,4.6 
A;CNMIGRATRT;DEC0,-2.0 ,-1.5 ,-0.9 ,-2.0 ,0.2 ,1.2 ,1.9 ,2.4 ,3.6 ,12.6 ,5.8 ,2.5 
A;CNMIGRATRT;DED2,-0.5 ,-3.9 ,-2.8 ,-1.2 ,-0.1 ,0.9 ,2.7 ,3.0 ,3.8 ,9.9 ,1.2 ,2.5 
A;CNMIGRATRT;DED4,: ,: ,: ,: ,: ,-2.9 ,-1.3 ,-0.7 ,2.4 ,8.4 ,-1.5 ,0.6 
A;CNMIGRATRT;DED5,: ,: ,: ,: ,: ,7.3 ,10.5 ,10.8 ,14.7 ,19.3 ,12.2 ,12.2 
A;CNMIGRATRT;DEE0,-6.4 ,-7.1 ,-7.7 ,-5.2 ,-3.3 ,-3.2 ,-1.7 ,-0.1 ,2.1 ,11.1 ,1.8 ,0.8 
A;CNMIGRATRT;DEF0,3.0 ,3.6 ,1.7 ,2.4 ,3.8 ,4.2 ,4.9 ,7.2 ,8.4 ,13.3 ,11.0 ,6.0 
