"TIME","GEO","TRA_MEAS","UNIT","Value","Flag and Footnotes"
"2007","UKM8","Passengers carried (arrival)","Thousand passengers","4,361",""
"2007","UKM9","Passengers carried (arrival)","Thousand passengers","1,211",""
"2007","UKN0","Passengers carried (arrival)","Thousand passengers","3,918",""
"2007","UKZZ","Passengers carried (arrival)","Thousand passengers",":",""
"2007","IS00","Passengers carried (arrival)","Thousand passengers","1,227",""
"2007","NO01","Passengers carried (arrival)","Thousand passengers","8,732",""
"2007","NO02","Passengers carried (arrival)","Thousand passengers","2",""
"2007","NO03","Passengers carried (arrival)","Thousand passengers","601",""
"2007","NO04","Passengers carried (arrival)","Thousand passengers","2,321",""
"2007","NO05","Passengers carried (arrival)","Thousand passengers","2,936",""
"2007","NO06","Passengers carried (arrival)","Thousand passengers","1,864",""
"2007","NO07","Passengers carried (arrival)","Thousand passengers","2,894",""
"2007","NOZZ","Passengers carried (arrival)","Thousand passengers",":",""
"2007","CH01","Passengers carried (arrival)","Thousand passengers","5,376",""
"2007","CH02","Passengers carried (arrival)","Thousand passengers","44",""
"2007","CH03","Passengers carried (arrival)","Thousand passengers",":",""
"2007","CH04","Passengers carried (arrival)","Thousand passengers","10,384",""
"2007","CH05","Passengers carried (arrival)","Thousand passengers","50",""
"2007","CH06","Passengers carried (arrival)","Thousand passengers",":",""
"2007","CH07","Passengers carried (arrival)","Thousand passengers","93",""
"2007","CHZZ","Passengers carried (arrival)","Thousand passengers",":",""
"2008","BE2","Passengers carried (arrival)","Thousand passengers","9,332",""
"2008","BE21","Passengers carried (arrival)","Thousand passengers","64",""
"2008","BE24","Passengers carried (arrival)","Thousand passengers","9,187",""
"2008","BE25","Passengers carried (arrival)","Thousand passengers","81",""
"2008","BE3","Passengers carried (arrival)","Thousand passengers","1,649",""
"2008","BE32","Passengers carried (arrival)","Thousand passengers","1,460",""
"2008","BE33","Passengers carried (arrival)","Thousand passengers","190",""
"2008","BG33","Passengers carried (arrival)","Thousand passengers","703",""
"2008","BG34","Passengers carried (arrival)","Thousand passengers","961",""
"2008","BG41","Passengers carried (arrival)","Thousand passengers","1,577",""
"2008","CZ01","Passengers carried (arrival)","Thousand passengers","6,298",""
"2008","CZ04","Passengers carried (arrival)","Thousand passengers","38",""
"2008","CZ05","Passengers carried (arrival)","Thousand passengers",":",""
"2008","CZ06","Passengers carried (arrival)","Thousand passengers","229",""
"2008","CZ08","Passengers carried (arrival)","Thousand passengers","156",""
"2008","DK01","Passengers carried (arrival)","Thousand passengers","10,959",""
"2008","DK02","Passengers carried (arrival)","Thousand passengers","7",""
"2008","DK03","Passengers carried (arrival)","Thousand passengers","1,328",""
"2008","DK04","Passengers carried (arrival)","Thousand passengers","386",""
"2008","DK05","Passengers carried (arrival)","Thousand passengers","525",""
"2008","DE11","Passengers carried (arrival)","Thousand passengers","4,936",""
"2008","DE12","Passengers carried (arrival)","Thousand passengers","599",""
"2008","DE13","Passengers carried (arrival)","Thousand passengers","0",""
"2008","DE14","Passengers carried (arrival)","Thousand passengers","306",""
"2008","DE21","Passengers carried (arrival)","Thousand passengers","17,201",""
"2008","DE22","Passengers carried (arrival)","Thousand passengers","0",""
"2008","DE24","Passengers carried (arrival)","Thousand passengers","9",""
"2008","DE25","Passengers carried (arrival)","Thousand passengers","2,113",""
"2008","DE27","Passengers carried (arrival)","Thousand passengers","230",""
"2008","DE30","Passengers carried (arrival)","Thousand passengers","7,383",""
"2008","DE40","Passengers carried (arrival)","Thousand passengers","3,318",""
"2008","DE50","Passengers carried (arrival)","Thousand passengers","1,237",""
"2008","DE60","Passengers carried (arrival)","Thousand passengers","6,391",""
"2008","DE71","Passengers carried (arrival)","Thousand passengers","26,653",""
"2008","DE73","Passengers carried (arrival)","Thousand passengers","0",""
"2008","DE80","Passengers carried (arrival)","Thousand passengers","80",""
"2008","DE91","Passengers carried (arrival)","Thousand passengers","1",""
"2008","DE92","Passengers carried (arrival)","Thousand passengers","2,788",""
"2008","DE94","Passengers carried (arrival)","Thousand passengers","0",""
"2008","DEA1","Passengers carried (arrival)","Thousand passengers","9,821",""
"2008","DEA2","Passengers carried (arrival)","Thousand passengers","5,133",""
"2008","DEA3","Passengers carried (arrival)","Thousand passengers","761",""
"2008","DEA4","Passengers carried (arrival)","Thousand passengers","556",""
"2008","DEA5","Passengers carried (arrival)","Thousand passengers","1,154",""
"2008","DEB1","Passengers carried (arrival)","Thousand passengers","1,951",""
"2008","DEB2","Passengers carried (arrival)","Thousand passengers","0",""
"2008","DEB3","Passengers carried (arrival)","Thousand passengers","151",""
"2008","DEC0","Passengers carried (arrival)","Thousand passengers","228",""
"2008","DED2","Passengers carried (arrival)","Thousand passengers","914",""
"2008","DED5","Passengers carried (arrival)","Thousand passengers","979",""
"2008","DEE0","Passengers carried (arrival)","Thousand passengers","0",""
"2008","DEE01","Passengers carried (arrival)","Thousand passengers",":",""
"2008","DEF0","Passengers carried (arrival)","Thousand passengers","329",""
"2008","DEG0","Passengers carried (arrival)","Thousand passengers","147",""
"2008","DEZZ","Passengers carried (arrival)","Thousand passengers","7",""
"2008","EE00","Passengers carried (arrival)","Thousand passengers","892",""
"2008","IE04","Passengers carried (arrival)","Thousand passengers","442",""
"2008","IE05","Passengers carried (arrival)","Thousand passengers","3,217",""
"2008","IE06","Passengers carried (arrival)","Thousand passengers","11,692",""
"2008","EL51","Passengers carried (arrival)","Thousand passengers","304",""
"2008","EL52","Passengers carried (arrival)","Thousand passengers","2,075",""
"2008","EL53","Passengers carried (arrival)","Thousand passengers","3",""
"2008","EL54","Passengers carried (arrival)","Thousand passengers","67",""
"2008","EL11","Passengers carried (arrival)","Thousand passengers",":",""
"2008","EL12","Passengers carried (arrival)","Thousand passengers",":",""
"2008","EL13","Passengers carried (arrival)","Thousand passengers",":",""
"2008","EL14","Passengers carried (arrival)","Thousand passengers",":",""
"2008","EL61","Passengers carried (arrival)","Thousand passengers","134",""
"2008","EL62","Passengers carried (arrival)","Thousand passengers","1,651",""
"2008","EL63","Passengers carried (arrival)","Thousand passengers","216",""
"2008","EL64","Passengers carried (arrival)","Thousand passengers","5",""
"2008","EL65","Passengers carried (arrival)","Thousand passengers","40",""
"2008","EL21","Passengers carried (arrival)","Thousand passengers",":",""
"2008","EL22","Passengers carried (arrival)","Thousand passengers",":",""
